stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_elevation,zone_id,stop_url,location_type,parent_station,platform_code,ch_station_long_name,ch_station_synonym1,ch_station_synonym2,ch_station_synonym3,ch_station_synonym4
0000132,,Bahn-2000-Strecke,,47.196374,7.689360,0,,,0,,,Bahn-2000-Strecke,,,,
0000133,,Centovalli,,46.154371,8.603653,0,,,0,,,Centovalli,,,,
0000134,,Furka,,46.538322,8.435913,0,,,0,,,Furka,,,,
0000135,,Lötschberg-Basistunnel,,46.356888,7.773846,0,,,0,,,Lötschberg-Basistunnel,,,,
0000136,,Lötschberg-Bergstrecke,,46.433756,7.717215,0,,,0,,,Lötschberg-Bergstrecke,,,,
0000137,,Rotsee,,47.074530,8.320797,0,,,0,,,Rotsee,,,,
0000138,,Vereina,,46.808381,9.985688,0,,,0,,,Vereina,,,,
0000139,,Damm,,47.217327,8.805061,0,,,0,,,Damm,,,,
0000140,,Gotthard-Panoramastrecke,,46.604329,8.591156,0,,,0,,,Gotthard-Panoramastrecke,,,,
0000141,,Oberalp,,46.652359,8.644440,0,,,0,,,Oberalp,,,,
0000142,,Simplontunnel,,46.276342,8.091198,0,,,0,,,Simplontunnel,,,,
0000174,,Gotthard-Basistunnel,,46.680773,8.765599,0,,,0,,,Gotthard-Basistunnel,,,,
0000175,,Hauenstein-Basistunnel,,47.401134,7.904318,0,,,0,,,Hauenstein-Basistunnel,,,,
0000176,,Zimmerberg-Basistunnel,,47.351679,8.521961,0,,,0,,,Zimmerberg-Basistunnel,,,,
0000181,,Albulatunnel,,46.574006,9.811342,0,,,0,,,Albulatunnel,,,,
8002301,LIRE,Lindau-Reutin,,47.552384,9.703292,0,,,1,,,,Lindau Fernbahnhof,,,
8002370,LIAE,Lindau-Aeschach,,47.559620,9.684660,0,,,1,,,,,,,
8002371,LIND,Lindau-Insel,,47.544341,9.680469,0,,,1,,,,,,,
8002373,ENZI,Enzisweiler,,47.564142,9.665429,0,,,1,,,,,,,
8002374,WABU,Wasserburg (Bodensee),,47.571899,9.639062,402,,,1,,,,,,,
8002375,NONN,Nonnenhorn,,47.575118,9.612676,0,,,1,,,,,,,
8011068,FRKF,Frankfurt (Main) Hbf,,50.107145,8.663789,0,,,0,,,,Francfort,Frankfurt (Main),Frankfurt Hbf,
8014181,DOG,Dogern,,47.608887,8.167356,0,,,1,,,,,,,
8014228,KAR,Karlsruhe Hbf,,48.993515,8.402181,0,,,1,,,,Karlsruhe,,,
8014238,ETWE,Ettlingen West,,48.947182,8.387878,0,,,1,,,,,,,
8014239,RBRH,Bruchhausen (b Ettl),,48.923992,8.373975,0,,,1,,,,,,,
8014240,RMAL,Malsch,,48.889506,8.323585,0,,,1,,,,,,,
8014241,MUGG,Muggensturm,,48.876805,8.274293,0,,,0,,,,,,,
8014245,RAS,Rastatt,,48.860483,8.215623,0,,,1,,,,,,,
8014277,BBA,Baden-Baden,,48.789973,8.189554,0,,,1,,,,,,,
8014281,BUEB,Bühl (Baden),,48.696676,8.129299,0,,,1,,,,,,,
8014283,ACHR,Achern,,48.633990,8.065324,0,,,1,,,,,,,
8014288,REXZ,Renchen (D),,48.592660,8.007138,0,,,1,,,,,,,
8014289,APP,Appenweier,,48.541461,7.973190,0,,,1,,,,,,,
8014309,OFF,Offenburg,,48.476475,7.946723,0,,,1,,,,,,,
8014318,FRSH,Friesenheim (Baden),,48.381589,7.862948,0,,,1,,,,,,,
8014319,LAHR,Lahr (Schwarzw),,48.340436,7.834734,0,,,1,,,,,,,
8014324,ORSW,Orschweier,,48.274192,7.790281,0,,,1,,,,,,,
8014325,RING,Ringsheim/Europa-Park,,48.248726,7.773037,0,,,1,,,,,,,
8014326,HEBO,Herbolzheim (Breisgau),,48.223866,7.767638,0,,,1,,,,,,,
8014327,KENZ,Kenzingen,,48.194451,7.764094,0,,,1,,,,,,,
8014328,RIEG,Riegel-Malterdingen,,48.151969,7.770850,0,,,1,,,,,,,
8014329,KOEN,Köndringen,,48.137458,7.802925,0,,,1,,,,,,,
8014330,TENI,Teningen-Mundingen,,48.128777,7.824408,0,,,1,,,,,,,
8014331,EMME,Emmendingen,,48.119454,7.847511,0,,,1,,,,,,,
8014332,KOMR,Kollmarsreute,,48.098271,7.887074,0,,,1,,,,,,,
8014335,DENZ,Denzlingen,,48.068625,7.881434,0,,,1,,,,,,,
8014347,GUND,Gundelfingen (Breisgau),,48.044025,7.874185,0,,,1,,,,,,,
8014348,FRBZ,Freiburg (D) Zähringen,,48.024363,7.863734,0,,,1,,,,,,,
8014349,FRBH,Freiburg (D) Herdern,,48.008237,7.850973,0,,,1,,,,,,,
8014350,FRBR,Freiburg (Breisgau) Hbf,,47.997697,7.841170,0,,,1,,,,Freiburg im Breisgau,,,
8014354,,Freiburg (D) West,,48.028800,7.810860,0,,,1,,,,,,,
8014357,,Hugstetten,,48.048247,7.783929,0,,,1,,,,,,,
8014358,,Gottenheim,,48.051653,7.727832,0,,,1,,,,,,,
8014359,,Wasenweiler,,48.046587,7.686813,0,,,1,,,,,,,
8014360,,Ihringen (D),,48.040410,7.648777,0,,,1,,,,,,,
8014361,,Breisach,,48.026918,7.589350,0,,,1,,,,,,,
8014364,,Freiburg (D) Wiehre,,47.982413,7.854127,0,,,1,,,,,,,
8014365,,Freiburg (D) Littenweiler,,47.981672,7.895133,0,,,1,,,,,,,
8014367,,Kirchzarten,,47.967936,7.959132,0,,,1,,,,,,,
8014368,,Himmelreich,,47.958616,7.991356,0,,,1,,,,,,,
8014372,HIZA,Hinterzarten,,47.906278,8.106033,0,,,1,,,,,,,
8014373,TIT,Titisee,,47.903402,8.155069,0,,,1,,,,,,,
8014376,,Feldberg-Bärental,,47.871444,8.098294,0,,,1,,,,,,,
8014377,,Altglashütten-Falkau,,47.859392,8.114113,0,,,1,,,,,,,
8014378,,Aha,,47.833224,8.134349,0,,,1,,,,,,,
8014379,,Schluchsee,,47.816868,8.177126,0,,,1,,,,,,,
8014380,SEBR,Seebrugg,,47.803516,8.191115,0,,,1,,,,,,,
8014384,NES,Neustadt (Schwarzw),,47.910198,8.210883,0,,,1,,,,,,,
8014393,,Rötenbach (Baden),,47.892830,8.290057,0,,,0,,,,,,,
8014394,,Löffingen,,47.883434,8.341800,0,,,1,,,,,,,
8014396,,Bachheim,,47.862072,8.399399,0,,,1,,,,,,,
8014397,,Unadingen,,47.881166,8.397886,0,,,0,,,,,,,
8014398,,Döggingen,,47.893654,8.441107,0,,,1,,,,,,,
